Message_id,Day_of_week,Date,Sender,Subject,Body
11,Tuesday,01/07/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #414 [Hard] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Microsoft.

You have an N by N board. Write a function that, given N, returns the number of
possible arrangements of the board where N queens can be placed on the board
without threatening each other, i.e. no two queens share the same row, column,
or diagonal.

"
12,Tuesday,01/07/2020,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #13: How would you improve Yelp?  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Yelp.

We're always looking for ways to improve our app experience for our users. Based on your research, how would you improve Yelp?

Make it harder? Use data to validate your solution.


"
13,Monday,01/06/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #413 [Hard] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Amazon.

There exists a staircase with N steps, and you can climb up either 1 or 2 steps
at a time. Given N, write a function that returns the number of unique ways you
can climb the staircase. The order of the steps matters.

For example, if N is 4, then there are 5 unique ways:

 * 1, 1, 1, 1
 * 2, 1, 1
 * 1, 2, 1
 * 1, 1, 2
 * 2, 2

What if, instead of being able to climb 1 or 2 steps at a time, you could climb
any number from a set of positive integers X? For example, if X = {1, 3, 5}, you
could climb 1, 3, or 5 steps at a time.

"
14,Monday,01/06/2020,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #12: Why did Facebook buy Instagram?  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This question was recently asked by Microsoft.

Facebook bought Instagram for about $1B, even though Instagram was making no money. Why do you think Facebook did this?

Make it harder? Provide at least three unique reasons why the acquisition was made.


"
15,Monday,01/06/2020,Data Science Prep <team@datascienceprep.com>,[ML] Classification metrics: Uber [Medium] ,"*Data Science Prep* 

Good morning!

Here's today's problem:

This problem was asked by Uber.

Say you need to produce a binary classifier for fraud detection. What metrics
would you look at, how is each defined, and what is the interpretation of each
one?

"
16,Sunday,01/05/2020,Daily Product Prep <daily@dailyproductprep.com>,No Guide This Week - We Need Your Help! ,"*Product Management Prep* 

This week we don't have a guide, but instead we need your help!

We're trying to improve Daily Product Prep for all of you, and we'd love if you
could help by providing your feedback.

This quick survey takes less than 3 minutes and would be a huge help to us:

Take the survey! [https://dailyproductprep.typeform.com/to/kQsJsc]

Thanks so much and see you tomorrow!

Donald

"
17,Sunday,01/05/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #412 [Medium] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Epic.

The ""look and say"" sequence is defined as follows: beginning with the term 1,
each subsequent term visually describes the digits appearing in the previous
term. The first few terms are as follows:

1
11
21
1211
111221


As an example, the fourth term is 1211, since the third term consists of one 2 
and one 1.

Given an integer N, print the Nth term of this sequence.

"
18,Saturday,01/04/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #411 [Hard] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Google.

Given a string which we can delete at most k, return whether you can make a
palindrome.

For example, given 'waterrfetawx' and a k of 2, you could delete f and x to get
'waterretaw'.

"
19,Friday,01/03/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #410 [Hard] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Airbnb.

You are given an array X of floating-point numbers x1, x2, ... xn. These can be
rounded up or down to create a corresponding array Y of integers y1, y2, ... yn.

Write an algorithm that finds an appropriate Y array with the following
properties:

 * The rounded sums of both arrays should be equal.
 * The absolute pairwise difference between elements is minimized. In other
   words, |x1- y1| + |x2- y2| + ... + |xn- yn| should be as small as possible.

For example, suppose your input is [1.3, 2.3, 4.4]. In this case you cannot do
better than [1, 2, 5], which has an absolute difference of |1.3 - 1| + |2.3 - 2|
+ |4.4 - 5| = 1.

"
20,Friday,01/03/2020,Daily Product Prep <daily@dailyproductprep.com>,"Daily Product Prep #11: How many Hershey's chocolate bars were
 sold in the US last year?  ","*Product Management Prep* 

Good morning!

Here's today's problem:

This question was recently asked by Google.

How many Hershey's chocolate bars were sold in the US last year?

Make it harder? Consider at least two edge cases you didn't think of initially
in your formula.

"
21,Friday,01/03/2020,Data Science Prep <team@datascienceprep.com>,[Statistics] Is the coin biased?: Google [Medium] ,"*Data Science Prep* 

Good morning!

Here's today's problem:

This problem was asked by Google.

A coin was flipped 1000 times, and 550 times it showed up heads. Do you think
the coin is biased? Why or why not?

"
22,Thursday,01/02/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #409 [Hard] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Google.

PageRank is an algorithm used by Google to rank the importance of different
websites. While there have been changes over the years, the central idea is to
assign each site a score based on the importance of other pages that link to
that page.

More mathematically, suppose there are N sites, and each site i has a certain
count Ci of outgoing links. Then the score for a particular site Sj is defined
as :

score(Sj) = (1 - d) / N + d * (score(Sx) / Cx+ score(Sy) / Cy+ ... + score(Sz) /
Cz))

Here, Sx, Sy, ..., Sz denote the scores of all the other sites that have
outgoing links to Sj, and d is a damping factor, usually set to around 0.85,
used to model the probability that a user will stop searching.

Given a directed graph of links between various websites, write a program that
calculates each site's page rank.

"
23,Thursday,01/02/2020,Daily Product Prep <daily@dailyproductprep.com>,"Daily Product Prep #10: Diagnose a 20% drop in Facebook Groups
 usage.  ","*Product Management Prep* 

Good morning!

Here's today's problem:

This question was recently asked by Facebook.

You're the PM of Facebook Groups and you notice usage has dropped 20%. What are
your next steps?

Make it harder? The drop has been gradual for the past two weeks.

"
24,Wednesday,01/01/2020,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #408 [Medium] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Facebook.

Given an array of numbers representing the stock prices of a company in
chronological order and an integer k, return the maximum profit you can make
from k buys and sells. You must buy the stock before you can sell it, and you
must sell the stock before you can buy it again.

For example, given k = 2 and the array [5, 2, 4, 0, 1], you should return 3.

"
25,Wednesday,01/01/2020,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #9: Improve the Oculus Store.  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Oculus.

A key component for the VR experience at Oculus is the Oculus Store. The Oculus
Store is a marketplace that connects users with the creations of the thousands
of developers in the Oculus ecosystem. How would you improve the Oculus Store if
you were hired here?

Make it harder? Double down on one user type for your solution.

"
26,Wednesday,01/01/2020,Data Science Prep <team@datascienceprep.com>,[Coding] Sum of consecutive numbers: Robinhood [Hard] ,"*Data Science Prep* 

Good morning!

Here's today's problem:

This problem was asked by Robinhood.

Given a number n, return the number of lists of consecutive numbers that sum up
to n.

For example, for n = 9, you should return 3 since the lists are: [2, 3, 4], [4,
5], and [9]. Can you do it in linear time?

"
27,Tuesday,12/31/2019,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #407 [Medium] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Samsung.

A group of houses is connected to the main water plant by means of a set of
pipes. A house can either be connected by a set of pipes extending directly to
the plant, or indirectly by a pipe to a nearby house which is otherwise
connected.

For example, here is a possible configuration, where A, B, and C are houses, and
arrows represent pipes:

A <--> B <--> C <--> plant


Each pipe has an associated cost, which the utility company would like to
minimize. Given an undirected graph of pipe connections, return the lowest cost
configuration of pipes such that each house has access to water. 

In the following setup, for example, we can remove all but the pipes from plant 
to A, plant to B, and B to C, for a total cost of 16. 

pipes = {
    'plant': {'A': 1, 'B': 5, 'C': 20},
    'A': {'C': 15},
    'B': {'C': 10},
    'C': {}
}


"
28,Tuesday,12/31/2019,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #8: Design a wedding registry.  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This question was recently asked by Amazon.

How would you design a wedding registry product?

Make it harder? Use Amazon features to improve the experience.

"
29,Monday,12/30/2019,Daily Product Prep <daily@dailyproductprep.com>,[BOXING WEEK] Last day to save on your premium subscription! ,"*Product Management Prep* 

Hey there,

Today is the last day we're running our Boxing Week sale on premium
subscriptions.

Make your New Year's Resolution to upgrade jobs this year with $20 off your
first year ($120 -> $100) or $5 off your first month ($15 -> $10)!

This sale ends tonight, and I don't want you to miss out!

To check it out, visit our Boxing Week Sale
[https://dailyproductprep.com/upgrade?coupon=boxingweek19] page!

Have a great last couple days of 2019!

Donald"
30,Monday,12/30/2019,Daily Coding Problem <founders@dailycodingproblem.com>,Daily Coding Problem: Problem #406 [Hard] ,"*Coding Challenge* 

Good morning! Here's your coding interview problem for today.

This problem was asked by Quantcast.

You are presented with an array representing a Boolean expression. The elements
are of two kinds:

 * T and F, representing the values True and False.
 * &, |, and ^, representing the bitwise operators for AND, OR, and XOR.

Determine the number of ways to group the array elements using parentheses so
that the entire expression evaluates to True.

For example, suppose the input is ['F', '|', 'T', '&', 'T']. In this case, there
are two acceptable groupings: (F | T) & T and F | (T & T).

"
31,Monday,12/30/2019,Daily Product Prep <daily@dailyproductprep.com>,"Daily Product Prep #7: Improve Facebook Marketplaces for the used
 car space.  ","*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Facebook.

Pretend you've just been hired as the product manager for Facebook Marketplaces.
You notice one core user group are those using Marketplaces to buy and sell used
cars. How would you make their experience better?

Make it harder? You cannot implement any demand (buy-side) features.

"
32,Sunday,12/29/2019,Daily Product Prep <daily@dailyproductprep.com>,How To Ask Great Questions At Your PM Interview  ,"*Product Management Prep* 

One of the most important yet overlooked parts of interviewing is when the
interviewer gives you an opportunity to ask them questions. For product
management interviews, This is one of the most critical parts of an interview
and sets the tone for their excitement as soon as the interview is over.

Here's our recommended way to structure your questions so you can come off as an
ideal candidate. You should ask one question relating to each of the following
three categories:

 1. Interviewer specific question.
 2. Team specific question.
 3. Organization-Industry specific question.

This structure guarantees you show personal interest, team interest, and
organizational interest. It also shows you've done your research and you
understand problems the organization faces. Asking deeper questions also helps
show the interviewer you are intentional in your job search.

INTERVIEWER SPECIFIC QUESTION
The first question you should ask is related to your interviewer. No — you don't
ask their favorite color or what they like doing on the weekend. Here you should
research your interviewer on LinkedIn and see what their previous experience was
like. Is there anything that stands out? Ask questions relating to how specific
experiences they've had has influenced their execution or their current
position. This also helps to disarm your interviewer and immediately creates
rapport.

Here are three questions you could ask:

 * Before joining Uber I noticed you also worked at an early stage startup. How
   was the transition and what do you wish you knew before making that
   transition?
 * What has your design background offered you that you wished other PMs at Yelp
   paid more attention to?
 * I noticed you also have some entrepreneurial experience from Juicebox. I'm
   curious how you've translated your startup/entrepeneurial experience into
   influencing the Product culture at Twitter.

Again, be meticulous in your research so you can ask pointed questions about how
their experience has influenced their current situations.

TEAM SPECIFIC QUESTION
Here, you'll want to ask questions specifically about the team you'll be working
with. This includes culture questions or more specific questions about
organizational structure within your team. These can be specific or high-level.
These can also include more objective and informational questions.

Here are some sample questions you could ask:

 * I heard that the PMs have been moved to the same floor to help with
   cross-unit collaboration — what is the biggest difference you've noticed
   since this change in terms of team collaboration?
 * How has the Developer Success team evolved over the past couple years as more
   focus has been placed on the Twitch API? How do you see it changing as the
   team grows?
 * Who will be on the core and extended team for this role? Is it only
   developers or also designers?

These types of questions are easy and show immediate interest in the team you'll
be working with on a daily basis. This also helps you identify important
cultural norms that exist within the team to emmulate during your interviews.

ORGANIZATION-INDUSTRY SPECIFIC QUESTION
We usually recommend saving this one for last as it's your ""home-run ball"".
These types of questions show deep understanding and interest in the product,
industry, and organization at a high level. You should research specific trends
in the industry, look at how the organization is tackling these challenges, and
form a specific opinion on whether it's the right or wrong strategy. Don't worry
about coming off too dense — you'll never have as much information as your
interviewer since you don't have access to proprietary and private data.

Here are three great questions some of our subscribers have asked:

 * How do you think MLBAM's recent exclusivity rights to competitive League of
   Legends affects how Twitch approaches the esports category given the
   increasing investment into broadcast rights for esports?
 * With features like Open set to roll out, are there other ways SeatGeek is
   planning to tackle the issue of customer trust in an opaque ticketing
   industry?
 * I noticed Oculus has a more closed ecosystem when compared to other platform
   liks the HTC Vive platform or Microsoft's VR platform. Obviously you get to
   control the initial experience and direction of the marketplace, but I'm
   curious how you are approaching the potential risk of ceding share to
   competitors and why the platform team felt this was the best long term
   strategy

These types of questions help communicate deep interest and understanding in the
industry and product. It also shows your ability to think strategically while
being outside of the organization.

Nailing the interview is hard enough. Don't forget to prepare great questions
for each interview you have. This helps round out your interview and leave a
lasting impression to each person you speak with.

Good luck!

"
33,Friday,12/27/2019,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #6: Measure the success of Snap Maps.  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This question was recently asked by Snapchat.

How would you measure the success of Snap Maps?

Make it harder? Whiteboard your answer.

"
34,Thursday,12/26/2019,Daily Product Prep <daily@dailyproductprep.com>,"[BOXING WEEK SALE] Save on our premium subscriptions until Monday!
 ","*Product Management Prep* 

Happy Boxing Day!

A new recruitment season is starting for most tech companies, so if your New
Year's Resolution is to get a new product job this is the perfect way to
kickstart the process.

This holiday season we're offering $20 off your first year on our yearly plan
(normally $120, now $100!) and $5 off your first month on our monthly plan
(normally $15, now $10!).

This sale ends on Monday, and I want to make sure you start the New Year off
motivated!

To check it out, visit our Boxing Week Sale
[https://dailyproductprep.com/upgrade?coupon=boxingweek19] page!

That's all! Hope you have a relaxing rest of your holiday,

Donald"
35,Thursday,12/26/2019,Daily Product Prep <daily@dailyproductprep.com>,"Daily Product Prep #5: Why is Amazon buying retail companies and
 keeping them independent?  ","*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Uber.

In your opinion, why do you think Amazon is buying retail companies and keeping
them independent?

Make it harder? Use specific examples of what Amazon has bought to better
illustrate your point

"
36,Wednesday,12/25/2019,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #4: Measure the success of Facebook Stories.  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Facebook.

Assume you were hired as a product manager at Facebook and you were in charge of
Facebook Stories. How would you measure the success of the feature?

Make it harder? Whiteboard your solution.

"
37,Tuesday,12/24/2019,Daily Product Prep <daily@dailyproductprep.com>,"Daily Product Prep #3: Diagnose a 15% drop in video engagement on
 YouTube.  ","*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Google.

You're the new product manager for YouTube and you notice a drop in video
engagement by 15% over the past two weeks. What do you do?

Make it harder? The drop in engagement is globally distributed.

"
38,Monday,12/23/2019,Daily Product Prep <daily@dailyproductprep.com>,"Daily Product Prep #2: What's the difference between an API and
 SDK?  ","*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Amazon.

How would you explain the difference between an API and SDK to a non-technical
person?

Make it harder? Explain it in less than 3 sentences.

"
39,Sunday,12/22/2019,Daily Product Prep <daily@dailyproductprep.com>,How To Prepare For Your First Product Management Interview  ,"*Product Management Prep* 

Hey there,

Hope your day is going well! I wrote a post on how to prepare for your first
product management interview. Approaching your first product interview can be
overwhelming and confusing. Hopefully these tips help you gain confidence and
help you prepare to nail your interviews.

Whether you're a graduating student looking at product roles, an engineer
looking for a change, someone in growth/support or anyone else in between,
preparing for your first product management interview is incredibly important.

To be blunt, product interviews are hard and the process is long. Be prepared to
spend 3 – 6 rounds of multiple 1+ hour interviews whether you're applying for an
APM position or a regular Product position. Additionally, the last round at most
product organizations have what's informally known as a 'super-day', aka
multiple hour long interviews jammed into one session. This can be extremely
daunting and overwhelming. However, with enough mock interview practice and a
few other tips we promise it will be much more approachable!

In this post, we'll provide a few tips to help you prepare for your first
product management interview. We'll split our tips into three distinct
categories:

 1. Answering the basics
 2. Remaining focused, confident, and sharp
 3. Leveraging your previous role

These are practical tips that will help you feel less overwhelmed when
approaching your first product management interview. They'll help you execute in
a concise manner, learn from past interviews, and leverage your experience
effectively based on your previous role.

ANSWERING THE BASICS
At a high level, product interviews repeatedly test three things:

 1. Your ability to communicate succinctly, convincingly, and with structure
 2. Your ability to empathize with users and execute on product process
 3. Your ability to collaborate in cross-functional teams

Because of this, there's a few questions you should almost always expect to
hear. The bad news is they're oftentimes quite difficult. The good news is that
since you're expecting them, you can prepare answers ahead of time and treat
these as ""freebies"". Failing on these types of questions will therefore be from
your own lack of preparation rather than difficulty.

Here are the types of questions you should expect and guidance on how to answer
them:

 * Tell me about yourself. This question tests your ability to to communicate
   succinctly and with structure. Typically you want this answer to be no longer
   than 3 minutes. Focus on structure and be chronological to help articulate a
   clear story. You can glaze over certain topics to bait your interviewer into
   asking you about specific experiences later in the product interview.
   
   
 * Why X company? This question once again tests your ability to communicate. We
   recommend having three clear and concise reasons why you're interested in the
   particular company. You should not spend more than 1 minute explaining your
   reasoning. You should be able to concisely articulate your reasonings. Part
   of being a product manager is to be convincing in a short period of time to
   achieve buy-in. This is the perfect question to showcase this skill.
   
   
 * Why leave your previous company / Why product management? If you're switching
   companies they may ask you why you're leaving your previous gig. If you're
   switching into product from a different role they'll ask why the switch.
   Similar to the above, you should have 3 clear reasons, be convincing, and be
   concise. No more than 1 minute for the entire solution.
   
   
 * Product based questions. We won't go over every product question in this post
   (they're all covered in Daily Product Prep) however you should know, off the
   top of your head, answers to at least these three specific questions: What is
   your favorite product? What is your least favorite product? and Improve our
   product. During the process you're almost 100% going to have to answer some
   variations of all three of these questions. Be prepared by having concise and
   clear answers to each of these.
   
   

Leverage mock interviews with friends or colleagues when preparing for your
interviews and make sure to go through all of the above questions multiple
times. Refine your answers after feedback from each mock product interview
session.

REMAINING FOCUSED, CONFIDENT, AND SHARP
A mixture of length and intensity can cause product interviews to be incredibly
draining. You don't want to slip up halfway through your interview due to
fatigue. Follow these tips to help maintain confidence and acuteness during your
product management interviews:

 * Prepare with product based questions. One way to be prepared for the length
   of the product interview is to be drilled and rehearsed in all product based
   questions. This makes you more comfortable and approachable throughout the
   process. It's like studying for an exam - rigor and discipline goes a long
   way!
   
   
 * Whiteboard during mock interviews. A large part of product interviews will be
   spent on the whiteboard. Simulating a true interview environment during your
   mocks includes whiteboarding. This helps you set a pace for your answers
   since whiteboarding solutions can oftentimes take up more time than you
   initially anticipated.
   
   
 * One question won't kill you. Product interviews are long. You won't nail
   every question. If you're starting to fall flat on a question, that's totally
   normal. You won't be perfect at every question so after answering, let the
   question go. You're here to show confidence and resilience. Being able to
   recover from a poor answer is incredibly important.
   
   
 * Use the bathroom. Using the bathroom in between interviews can help you catch
   your breath and refocus. This tactic can be used after every interview if
   needed. This gives you a physical and private space to literally put the past
   interview behind you so you can regain focus and reset your mind. It's easy
   to be overwhelmed and suffocated by the intensity of back-to-back-to-back
   interviews, so finding effective ways to catch your breath and refocus is
   critical to consistently performing well.
   
   
 * You can't win them all. You won't get offers from every firm you interview
   at. That's totally ok. Remain confident and use each interview as a learning
   opportunity and interview prep for future interviews. Take time after each
   interview to evaluate how to improve. This may include tweaking your answers
   based on feedback (both what's said and inferring from body language) from
   previous interviews. Have a mental log on how long each answer takes and try
   to tighten answers that are too long.
   
   

LEVERAGING YOUR PREVIOUS ROLE
If you're trying to transition into product from a different role you should
leverage your past experiences as much as possible to articulate why you'd be a
good fit despite lacking product experience. Here are key items to leverage
based on your previous role:

 * Engineering. Working cross-functionally with product managers and designers.
   By working cross functionally with your past product managers and designers,
   you can articulate how you understand the process from each side. Also, by
   having worked with product managers closely in the past, you have a leg up in
   understanding the required process to succeed. Another added benefit is your
   ability to empathize with future engineers on your team since you've worked
   in a development team before.
   
   
 * Design. As a designer, use experiences that showcases your user focus and
   capabilities in testing. Your greatest asset is your ability to rigorously
   understand your users and build products that cater to their wants and needs.
   Also, by working closely with product managers in the past you can leverage
   how you understand product process, your experience working with developers,
   and how to achieve buy-in upstream.
   
   
 * Growth / marketing. People in growth roles have a penchant for executing to
   hit aggressive targets. Use this experience to help articulate how you would
   get your team to execute effectively on tight deadlines and constrained
   resources. You should also speak on how part of hitting targets is the art of
   setting targets. This can be used to create parallels with how setting
   targets is similar to selecting key metrics to measure success.
   
   
 * Sales. Your greatest asset from sales is your ability to achieve buy-in and
   sell an idea to a larger crowd. As a product manager you need to be able to
   convince stakeholders not only of big ideas, but of tradeoffs during
   development. Leverage how your ability to sell a product translates into
   achieving organizational buy-in at all levels.
   
   
 * Data science. A large part of a product manager's job is to quantify and
   measure the success of their products. Leveraging your ability to use data to
   inform decision making is a huge asset. Use specific examples in the past
   where you've set up and executed A/B tests and multivariate tests. You should
   also speak on how you've helped organizations select which metrics best
   represent success.
   
   
 * Customer success. If you're coming from customer success, you should
   continually reiterate the fact that you empathize with users. The most
   practical experience you have transitioning into product from a support role
   is the wealth of time you've spent talking to and understanding users. Try to
   come up with specific examples from your experience where you've demonstrated
   empathy and how you've helped solve user issues.
   
   
 * Finance / accounting. Your familiarity with numbers and process is a huge
   asset as a product manager. Product managers need to use metrics and data to
   achieve buy-in consistently. Another asset from more finance roles is your
   ability to create informative and impactful decks. Many product interviews
   have a data or product take-home assignemtn where you can leverage your deck
   creation skills.
   
   
 * Student. As a student the most important experience to leverage is any
   entreprenurial or club experience you've had where you've shown the ability
   to execute on uncertain information. For example, if you've founded a club,
   started a side business, or led projects with different types of people. Go
   into detail on how you were able to make logical decisions in the face of
   uncertain information.
   
   

Leveraging your previous role is important and each role offers different value
to product at any organization. Focus on specific experiences that would make
you the ideal product manager. Remember: you got this!

Good luck on your interviews!

"
40,Friday,12/20/2019,Daily Product Prep <daily@dailyproductprep.com>,Daily Product Prep #1: Design a Jobs product for Facebook.  ,"*Product Management Prep* 

Good morning!

Here's today's problem:

This problem was recently asked by Facebook.

Design a jobs product for Facebook.

Make it harder? Assume the product is for blue-collar workers.

"
41,Friday,12/20/2019,Daily Product Prep <daily@dailyproductprep.com>,Welcome to Daily Product Prep! ,"*Product Management Prep* 

Hey there,

Thanks for signing up to Daily Product Prep! I hope you enjoy the problems we
send.

I'd like to take a few moments to share with you what to expect from Daily
Product Prep and offer a few suggestions on how you can make the most out of it.

We'll be sending you one product interview question every weekday morning asked
recently by a top tech company. Your solutions should take no longer than 30
minutes to solve.

Here are a few tips to get the most out of the product problems we send:

 * Actually do the problems. This means going through them in detail verbally.
   Getting stuck can be frustrating, but it's natural and the best way to learn.
 * Time yourself. Each question should take 30 minutes at most.
 * Use the problems as mock interview questions. Run through each question and
   solution with a friend or colleague.
 * Simulate an interview environment. This includes going through each problem
   verbally within the time limit and whiteboarding when necessary. This will
   help you execute and be less nervous when it comes to your actual interview.
 * You could also start a mini-discussion group with your friends to discuss
   each day's problem.
 * Forward a problem to people who you think might enjoy it and discuss
   potential solutions with them.

Finally, feel free to send us any feedback or suggestions! You can email us at
anytime at this email. Also, let us know if Daily Product Prep helped you out in
any way – we'd love to hear about it.

We'll send your first problem right away, and your next one at 9:00am Pacific
Time on the next weekday morning.

Best,

Don"
42,Friday,12/20/2019,Daily Product Prep <daily@dailyproductprep.com>,Verify your email for Daily Product Prep ,"*Product Management Prep* 

Hey there,

Thanks for signing up for Daily Product Prep. You'll need to verify your email
address to begin receiving your daily product problems.

Click this link to confirm it's you!
[https://dailyproductprep.com/verification?token=c10bdac5f17187a848232f25de6696cf6567edee]

Thanks!"
